Day,Angle (deg),X,Y
1,0.0,120.73275740376329,0.0
2,0.989010989010989,120.51533233570186,2.0804818168142596
3,1.978021978021978,120.24607095279967,4.1529046430402765
4,2.967032967032967,119.9254171607083,6.215834270937047
5,3.956043956043956,119.55386583801365,8.267858076574095
6,4.945054945054945,119.13196115824393,10.307587002550543
7,5.934065934065934,118.6602948185129,12.333657424230724
8,6.923076923076923,118.13950418691724,14.344732895270043
9,7.912087912087912,117.57027038081746,16.33950576926926
10,8.901098901098901,116.95331628801208,18.316698695432283
11,9.89010989010989,116.28940454258291,20.27506598710028
12,10.87912087912088,115.57933546684703,22.213394862982042
13,11.868131868131869,114.82394499042172,24.130506561788913
14,12.857142857142858,114.02410255689291,26.025257331804017
15,13.846153846153847,113.18070902800198,27.896539297665974
16,14.835164835164836,112.29469459462982,29.743281207321036
17,15.824175824175825,111.36701670318529,31.56444906269467
18,16.813186813186814,110.3986580053015,33.35904663815142
19,17.802197802197803,109.39062433802368,35.12611589125215
20,18.791208791208792,108.34394274094517,36.864737270682255
21,19.78021978021978,107.25965951602394,38.574029926514754
22,20.76923076923077,106.13883833509858,40.2531518281941
23,21.75824175824176,104.98255839942836,41.901299795781995
24,22.747252747252748,103.79191265491094,43.51770945010176
25,23.736263736263737,102.56800606599107,45.10165508745772
26,24.725274725274726,101.31195395066702,46.65244948459517
27,25.714285714285715,100.0248803784308,48.16944363951146
28,26.703296703296704,98.70791663244819,49.65202645363378
29,27.692307692307693,97.36219973679341,51.09962436074996
30,28.681318681318682,95.98887104910392,52.51170090792067
31,29.67032967032967,94.58907491861241,53.88775629341867
32,30.65934065934066,93.16395740914548,55.22732686653827
33,31.64835164835165,91.7146650863491,56.529984593900274
34,32.63736263736264,90.24234386811158,57.79533649664751
35,33.62637362637363,88.74813793689997,59.02302406268806
36,34.61538461538461,87.23318871250687,60.21272263789987
37,35.604395604395606,85.69863388351703,61.364140799964225
38,36.5934065934066,84.14560649564692,62.47701971824983
39,37.582417582417584,82.57523409498071,63.55113250292586
40,38.57142857142857,80.98863792402389,64.58628354624132
41,39.56043956043956,79.38693216841548,65.58230785867457
42,40.549450549450555,77.771223252082,66.53907040242805
43,41.53846153846154,76.14260917857672,67.45646542452305
44,42.527472527472526,74.50217891632624,68.33441579153757
45,43.51648351648352,72.85101182549998,69.17287232782662
46,44.50549450549451,71.19017712422459,69.9718131588712
47,45.494505494505496,69.52073339188394,70.73124306121747
48,46.48351648351648,67.84372810727491,71.45119282029358
49,47.472527472527474,66.16019721942584,72.131718597227
50,48.46153846153847,64.4711647489304,72.77290130562972
51,49.45054945054945,62.77764241770061,73.3748459991742
52,50.43956043956044,61.080629305099606,73.93768127064615
53,51.42857142857143,59.381111528474804,74.46155866303293
54,52.41758241758242,57.680061946177275,74.94665209308893
55,53.40659340659341,55.97843988121876,75.3931572877083
56,54.395604395604394,54.277190863786515,75.80129123333425
57,55.38461538461539,52.5772463909065,76.17129163853878
58,56.37362637362638,50.879523701614836,76.5034164098206
59,57.362637362637365,49.184925566068934,76.79794314058766
60,58.35164835164835,47.49434008710038,77.05516861321753
61,59.34065934065934,45.80864051278106,77.27540831402001
62,60.329670329670336,44.12868505864464,77.45899596086497
63,61.31868131868132,42.455316738272806,77.60628304318055
64,62.30769230769231,40.789363201024145,77.71763837397489
